"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",0.899513643881252,0.895438878443283,0.881677024861457,0.902307780332795,0.897002021094144,0.877875075883307,0.902300355059038,0.892162703516907,0.880224210687553
"2",0.901602542133727,0.893863164910819,0.884979741716436,0.900507412412826,0.896830669285229,0.883263628502205,0.900378881777632,0.894408207923484,0.886279751648409
"3",0.900294440480836,0.908274474921767,0.900905532330496,0.903785668369035,0.91305487029368,0.901211949013862,0.902822050693116,0.913161441524908,0.905175446275806
"4",0.89939931577134,0.892834697367748,0.883072771956336,0.898455336361703,0.892206738526159,0.881721849363201,0.898704450219164,0.890506801106982,0.884054219710047
"5",0.90257654482089,0.895325769608804,0.888779401377461,0.902394094604899,0.893957747354291,0.886114874141715,0.902617178624665,0.89406159660024,0.88966332843043
"6",0.902304713738832,0.910625951797376,0.90597145691594,0.901741811281445,0.911859274786508,0.904765500018722,0.900980905632897,0.916997397342262,0.913218643954681
"7",0.899782729491913,0.892803113477196,0.888789891512854,0.89958006165297,0.889386883890782,0.886116010884146,0.898224599264013,0.887254981067243,0.88542764548082
"8",0.899607274592608,0.892741990399621,0.892379271467779,0.899804615972561,0.890551120456937,0.88869399286632,0.901570570274323,0.890994585614626,0.890619178473101
"9",0.894769718212234,0.912178633872177,0.910230500567063,0.897738908156877,0.915358780600695,0.913757933777775,0.898422383693462,0.917178630865508,0.916551583291332
"10",0.896286107578728,0.886683771615797,0.886804391568963,0.89443954201308,0.883001658827048,0.882406843575297,0.897200857675794,0.882813506365619,0.883563726514611
"11",0.89520097741237,0.8878222392741,0.888336221331277,0.898276915562173,0.887247762578466,0.888273915212044,0.898724783486632,0.886778794309366,0.888530422379673
"12",0.897926691303232,0.913499460788758,0.913996705655742,0.89778995747787,0.918122996910952,0.918583851387415,0.895567143530311,0.92018542734207,0.92179284720086
"13",0.900263813999875,0.891789147950844,0.893604066493144,0.901379730365095,0.886685328335474,0.888961795838061,0.90218508133518,0.886600210584856,0.890224151289236
"14",0.895923946941689,0.891164620471958,0.89507767393838,0.899448464108341,0.890805528212361,0.893877404769865,0.89855557564775,0.889291845647665,0.893856028476838
"15",0.90193349046477,0.918460602891985,0.920778844273599,0.902888598871289,0.922088228210947,0.924401294637086,0.901786861981191,0.925513590009548,0.927959227405533
"16",0.89800859842203,0.887005640632467,0.892875587844942,0.89913154210243,0.883586422146404,0.890067098928963,0.897727099781022,0.880110019462479,0.88704343457353
"17",0.901354448506871,0.891027778302493,0.898101453970404,0.900202525732399,0.891149376823047,0.898512203618493,0.899937247409032,0.887147192301572,0.895207184827481
"18",0.897870440601562,0.922433483579281,0.926566869906602,0.89836670800123,0.925524805702495,0.930306434883015,0.898678169614125,0.927588851952494,0.93279201943321
