"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"1",0.916683333333334,0.91825,0.918683333333333,0.918766666666667,0.919283333333334,0.919033333333333,0.91875,0.919133333333333,0.919,0.9192,0.89975,0.00150601921293581,0.00144173227543223,0.00142966987052861,0.00145442909235009,0.00143111630195864,0.0014427650124764,0.00139245710225097,0.00136055544213057,0.00137255529796691,0.001376443860515,0.00151444197074653,1,0.5
"2",0.9325,0.93475,0.9355,0.936,0.935783333333333,0.93585,0.93605,0.936383333333333,0.935866666666667,0.936,0.898333333333333,0.00124291093253173,0.00119907771071014,0.00111751983191023,0.00121200887671724,0.00118483796198831,0.00121062110021091,0.00115304444591389,0.00118508046512137,0.00115890687033067,0.00113992336907195,0.00121350952364811,5,0.5
"3",0.9986,0.99955,0.99975,0.999833333333333,0.999866666666667,0.999833333333333,0.99985,0.99985,0.999866666666667,0.9999,0.897916666666667,0.000170192588679354,9.98562184734453e-05,6.22841098903027e-05,5.53636532358244e-05,5.83948772224385e-05,6.49196379146773e-05,5.44037693082227e-05,6.4103006187686e-05,5.32470566524142e-05,5.02865352970734e-05,0.00124246772740375,10,0.5
"4",0.999983333333333,1,1,1,1,1,1,1,1,1,0.899466666666667,1.66666666666648e-05,0,0,0,0,0,0,0,0,0,0.00125531818866344,15,0.5
"5",1,1,1,1,1,1,1,1,1,1,0.898716666666666,0,0,0,0,0,0,0,0,0,0,0.0010324291557709,20,0.5
"6",0.90555,0.905866666666667,0.905583333333333,0.905766666666667,0.905766666666667,0.905783333333333,0.905783333333333,0.90585,0.9059,0.905983333333333,0.899566666666667,0.00165871955879004,0.00168255643845381,0.0016315994784988,0.00161596441673961,0.00168576414906816,0.00165513539629743,0.00169374836528459,0.001704481921491,0.00173195126155841,0.00170807469306472,0.001590874358978,1,1
"7",0.907816666666667,0.908116666666667,0.908533333333333,0.908466666666667,0.908383333333333,0.908433333333333,0.908516666666667,0.9086,0.908416666666667,0.908583333333333,0.902066666666667,0.00165527428246547,0.00165912373585614,0.00164682441424124,0.00159865844140033,0.00160632430653893,0.00160364766197403,0.00162973154360298,0.00162547959324194,0.00157551001290575,0.0015880450161063,0.00160005986478045,5,1
"8",0.9309,0.932733333333333,0.933783333333333,0.933516666666667,0.933933333333333,0.934283333333333,0.934316666666667,0.934666666666667,0.934833333333333,0.934783333333333,0.900866666666666,0.00148389825223581,0.00148163728427223,0.00147170308203993,0.00145950773730358,0.00153479440633975,0.00155616743576089,0.00149894279474425,0.00149257421181587,0.00150484530333625,0.00154020511645894,0.00166487259761326,10,1
"9",0.973933333333333,0.978366666666667,0.97975,0.981516666666667,0.981566666666667,0.981816666666667,0.982016666666667,0.982383333333334,0.98235,0.982566666666667,0.8992,0.000797529710949215,0.000660430603754459,0.000660350829779751,0.000678691833871595,0.000615290480569077,0.000620753774891576,0.000645267178617331,0.000612927464410228,0.000622910299625324,0.000586600048464229,0.00135179744112758,15,1
"10",0.9955,0.997983333333333,0.998483333333333,0.998816666666667,0.998866666666666,0.9989,0.998966666666666,0.9991,0.999033333333333,0.999116666666666,0.901433333333333,0.00029458718437061,0.00016167821975546,0.000134513455578989,0.000113672582176606,0.000117280813742191,0.000108278058400743,0.000101520999847132,0.000105590839031405,0.000104313115444031,9.18623824969062e-05,0.00131366236615827,20,1
"11",0.899133333333333,0.8995,0.8997,0.899533333333333,0.899533333333333,0.899666666666667,0.89955,0.899533333333334,0.8994,0.89955,0.89755,0.00138151452235542,0.00133110445888359,0.00134112664937177,0.00135611288084505,0.00139723317180722,0.00138782334605191,0.00140388418489478,0.00145150206253656,0.00145258390463339,0.00143245428805121,0.00134982970403124,1,1.5
"12",0.90255,0.902883333333333,0.902783333333333,0.902933333333334,0.903016666666667,0.903033333333333,0.902933333333333,0.903,0.902883333333333,0.9028,0.90095,0.00163287877794045,0.00163961085468146,0.00164974455238458,0.00162500810490168,0.00161840764179459,0.00166072504131035,0.00163558371831492,0.00166125558387099,0.00164381168575891,0.00166118639227664,0.00167663970180095,5,1.5
"13",0.904533333333333,0.905083333333333,0.905216666666667,0.905,0.905133333333333,0.905283333333333,0.90535,0.905283333333334,0.905533333333333,0.905283333333333,0.8996,0.00151257816998213,0.00151696978150775,0.00152633648489908,0.00155030586526081,0.00153427007867895,0.00149667895445894,0.00151223933823054,0.00154616383522704,0.00154006518247883,0.00154411811927829,0.00159874232179368,10,1.5
"14",0.919333333333333,0.919983333333333,0.920783333333334,0.92075,0.9211,0.921283333333333,0.921166666666667,0.9214,0.921333333333333,0.921083333333333,0.900883333333333,0.00151094347729188,0.00142946886151942,0.00152765377413858,0.00147950558688002,0.00155482193976282,0.00149398859289782,0.00152457518736064,0.0014981597907502,0.00150121279195965,0.00147918184385932,0.00183276114372869,15,1.5
"15",0.93975,0.943466666666667,0.944433333333334,0.94545,0.945266666666667,0.945516666666667,0.945816666666667,0.9461,0.945933333333333,0.946233333333333,0.899033333333333,0.0012555051188459,0.00115865888917142,0.00112078926760363,0.00110441902342831,0.00107445076408574,0.0010979299574977,0.00116102494684786,0.0011114348187464,0.00111436114715272,0.00112360599030796,0.00145031374594804,20,1.5
